[00:00:05] 周总：我们青河这边想把会员系统在十月前上线，三家店的会员现在各管各的。
[00:00:20] 林总：可以，云帆咨讯这边下周给你们报价，工期表一起给。
[00:00:48] 周总：定制的门店积分方案能不能一起做？
[00:00:55] 林总：一起做的话工期要拉到十一月，旺季就赶不上了。
[00:01:02] 周总：那就这么定了，十月十五号前上线，定制的东西以后再说。
[00:07:40] 何经理：三家店的会员数据格式不一样，我这边先整理，两周左右。
[00:09:15] 林总：签合同和付款都走线上，付到我们对公账户，票据一次到位。
[00:09:40] 周总：行，财务那边没问题吧。
[00:09:50] 何经理：没问题，可以配合线上签。
[00:10:05] 林总：微信支付对公结算的具体要求我回去核一下。
[00:15:30] 何经理：积分规则如果全公司统一，店长可能有意见。
[00:18:10] 林总：系统支持门店级的例外配置，规则统一也可以留口子。
[00:19:48] 周总：规则必须统一，哪家店有特殊情况来找我批。
[00:22:50] 林总：那我下周三前把报价和工期表发过来。
[00:23:30] 周总：好，报价后一周我们再碰一次。
